codigo_distrito,tipo_evento,fecha_inicio,fecha_fin,severidad,fuente,descripcion
50804,lluvia_intensa,2008-09-25,,,"DesInventar Costa Rica, ficha 2008-868 (evento FLOOD)","Barrio Los Angeles. La ficha no detalla afectacion."
50801,lluvia_intensa,2008-09-21,,,"DesInventar Costa Rica, ficha 2008-846 (evento FLOOD)","Inundaciones por fuertes lluvias, desbordamiento del rio y de alcantarillados en el sector de La Capri y la ciudadela."
50801,lluvia_intensa,2008-09-04,,,"DesInventar Costa Rica, ficha 2008-767 (evento FLOOD)","Inundacion por desbordamiento de una quebrada. Sin paso al poblado."
50802,lluvia_intensa,2008-10-08,,,"DesInventar Costa Rica, ficha 2008-1006 (evento LANDSLIDE)","Quebrada Grande. La ruta colapso en el paso de alcantarillado."
50801,lluvia_intensa,2007-09-21,,,"DesInventar Costa Rica, fichas 2007-970 y 2007-971 (evento FLOOD)","Ciudadela San Juan XXIII: tres casas inundadas y dos puentes rebalsados. Los Angeles: jardin infantil Hogar Madre Marcelina inundado."
50803,lluvia_intensa,2007-09-10,,,"DesInventar Costa Rica, ficha 2007-901 (evento FLOOD)","Tronadora. Una casa afectada."
50801,lluvia_intensa,2007-09-09,,,"DesInventar Costa Rica, ficha 2007-894 (evento RAIN)","El Silencio de Tilaran. Dos puentes colapsados, comunidad aislada."
50801,lluvia_intensa,2005-10-11,,,"DesInventar Costa Rica, ficha 2005-824 (evento FLOOD)","Sector 400 m sur y 25 m oeste de la iglesia. La ficha no detalla afectacion."
50801,lluvia_intensa,2004-10-18,,,"DesInventar Costa Rica, fichas 2004-561 y 2004-560 (evento FLOOD)","Barrio El Carmen y Ciudadela Juan XXIII. Varias viviendas inundadas, sin numero especificado en la fuente."
50801,lluvia_intensa,2004-09-19,,,"DesInventar Costa Rica, ficha 2004-406 (evento FLOOD)","Barrio La Cabra. Varias viviendas inundadas por desbordamiento de la quebrada Cabra y de alcantarillas."
50806,lluvia_intensa,2003-12-14,,,"DesInventar Costa Rica, ficha 2003-564 (evento FLOOD)","Rio Piedras Negras, 30 m norte de la iglesia. 20 viviendas afectadas."
50801,lluvia_intensa,1976-09-15,,,"DesInventar Costa Rica, ficha 1976-77 (evento LANDSLIDE)","Rio Chiquito. Llovia desde hacia 24 horas. Un terraplen alcanzo una vivienda: 1 muerto, 1 herido, 8 damnificados. La ficha atribuye explicitamente el deslizamiento a la lluvia."
50803,lluvia_intensa,1976-09-15,,,"DesInventar Costa Rica, ficha 1976-78 (evento LANDSLIDE)","Paso obstruido, puente arrasado, rio Chiquito desbordado. Mismo temporal que la ficha 1976-77."
50801,lluvia_intensa,1974-10-20,,,"DesInventar Costa Rica, ficha 1974-46 (evento FLOOD)","Rio Chiquito. La fuente no identifica el numero de viviendas afectadas. Varias reses perecieron ahogadas."
50806,lluvia_intensa,1970-11-11,,,"DesInventar Costa Rica, ficha 1970-121 (evento FLOOD)","Tramo de carretera entre Tierras Morenas y Quebrada Grande parcialmente destruido y el resto danado por temporal."
50804,incendio,2026-04-03,2026-04-05,alto,"La Nacion (seccion Foros), 27 de abril de 2026, con testimonio de funcionarios del Cuerpo de Bomberos","Incendio en finca ganadera en Los Angeles de Tilaran. Inicio alrededor de las 5 p.m. del Viernes Santo, avanzo por dos flancos y amenazo un caserio vecino, otra finca colindante y el pueblo. Una lluvia fuerte lo contuvo parcialmente esa tarde; siguieron dos dias mas apagando focos aislados. Al menos 20 personas participaron. Causa probable segun Bomberos: extraccion de miel de un panal usando fuego."
50801,lluvia_intensa,2017-05-25,2017-05-26,alto,"CNE via La Nacion y Periodico Guanacaste a la Altura, 25 y 26 de mayo de 2017","Onda tropical. Ciudadela Juan XXIII y San Luis. Albergue en el Centro Pastoral de Tilaran con 14 personas al 26 de mayo. Alerta amarilla de la CNE para el canton. El alcalde reporto entre 25 y 30 viviendas con danos de distinto grado en el canton."
50802,lluvia_intensa,2017-05-25,2017-05-26,medio,"CNE via La Nacion y Periodico Guanacaste a la Altura, 25 y 26 de mayo de 2017","Onda tropical. Problemas de paso en el distrito y vias danadas. Sin reporte de viviendas afectadas en este distrito."
50803,lluvia_intensa,2017-05-25,2017-05-26,alto,"CNE via La Nacion y Periodico Guanacaste a la Altura, 25 y 26 de mayo de 2017","Onda tropical. Ocho viviendas danadas por caida de material en Arenal Viejo de Tronadora, escuela unidocente con ingreso de lodo, acueducto de la ASADA fuera de servicio con 773 conexiones sin agua potable, perdida de ganado, ruta 926 con deslizamientos, 12 km de paso cerrado entre Tronadora, Arenal Viejo y Rio Chiquito."
